Summary	Component	Status	Assignee	Issue Type	Sprint	Priority	Estimate	Start Date	Due Date	Parent	Key	Description
RB-01: Authentication & Security Foundation	Backend	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 1	High	24h	2026/06/27 09:00	2026/06/28 22:00		CVMANAGER-0001	Module nền tảng xác thực, bảo mật, JWT, refresh token, logout và chuẩn response theo SRS.
Khởi tạo project Spring Boot Banking API	Backend	DONE	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 1	High	4h	2026/06/29 00:00	2026/06/29 00:00	CVMANAGER-0001	CVMANAGER-0002	Tạo project Spring Boot, cấu hình Gradle, package structure và application properties.
Thiết kế entity hệ thống ngân hàng	Backend	DONE	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 1	High	4h	2026/06/29 00:00	2026/06/29 00:00	CVMANAGER-0001	CVMANAGER-0003	Tạo entity User, Role, Account, KycProfile, BankingTransaction, AuditLog, RefreshToken, TokenBlacklist.
Xây dựng repository layer nền tảng	Backend	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 1	High	3h	2026/06/29 00:00	2026/06/29 00:00	CVMANAGER-0001	CVMANAGER-0004	Tạo repository cho User, Role, Account, KycProfile, BankingTransaction, AuditLog, RefreshToken và TokenBlacklist.
Chuẩn hóa success/error response nền tảng	Backend	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 1	High	3h	2026/06/29 00:00	2026/06/29 00:00	CVMANAGER-0001	CVMANAGER-0005	Tạo response thành công dạng success, message, data và error response gồm timestamp, status, error, message, path.
Cấu hình Spring Security stateless	Backend	DONE	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 1	High	4h	2026/06/29 00:00	2026/06/29 00:00	CVMANAGER-0001	CVMANAGER-0006	Tắt CSRF, cấu hình stateless session, permit /api/auth/** và bảo vệ private API.
Xây dựng JWT service và authentication filter	Backend	DONE	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 1	High	4h	2026/06/29 00:00	2026/06/29 00:00	CVMANAGER-0001	CVMANAGER-0007	Tạo service xử lý JWT, validate token, lấy thông tin user, expiration và filter đọc Authorization Bearer.
Xây dựng API đăng nhập	API	DONE	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 1	High	4h	2026/06/29 00:00	2026/06/29 00:00	CVMANAGER-0001	CVMANAGER-0008	POST /api/auth/login cho phép user đăng nhập và nhận JWT access token cùng refresh token.
Xây dựng API đăng xuất và blacklist token	API	DONE	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 1	High	4h	2026/06/29 00:00	2026/06/29 00:00	CVMANAGER-0001	CVMANAGER-0009	POST /api/auth/logout đưa access token vào blacklist và revoke refresh token khi cần.
Xây dựng API refresh token	API	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 1	High	3h	2026/06/29 00:00	2026/06/29 00:00	CVMANAGER-0001	CVMANAGER-0010	POST /api/auth/refresh kiểm tra refresh token tồn tại, chưa hết hạn, chưa revoked và cấp access token mới.
Tối ưu blacklist token bằng Redis	Backend	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 2	High	4h	2026/06/29 00:00	2026/06/30 12:00	CVMANAGER-0001	CVMANAGER-0011	Thay blacklist token lưu DB bằng Redis với key prefix auth:blacklist và TTL theo thời gian còn lại của access token.
Xây dựng Global Exception Handler	Backend	DONE	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 2	High	4h	2026/06/29 00:00	2026/06/30 12:00	CVMANAGER-0001	CVMANAGER-0012	Chuẩn hóa response lỗi cho validation, unauthorized, forbidden, not found, conflict và lỗi hệ thống.
RB-02: User & Customer Management	API	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 2	High	20h	2026/06/29 00:00	2026/06/30 12:00		CVMANAGER-0013	Module quản lý khách hàng cho phép Admin/Staff xem, cập nhật, khóa/mở khóa và kiểm soát trạng thái tài khoản khách hàng.
Thiết kế UserResponseDto cho dữ liệu khách hàng	API	DONE	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 2	High	2h	2026/06/29 00:00	2026/06/29 00:00	CVMANAGER-0013	CVMANAGER-0014	Tạo DTO gồm id, username, email, phoneNumber, fullName, role, isActive, isKyc, createdAt; không trả password hoặc dữ liệu nhạy cảm.
Xây dựng repository user với DTO projection	API	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 2	High	4h	2026/06/29 00:00	2026/06/30 12:00	CVMANAGER-0013	CVMANAGER-0015	Dùng JPQL constructor projection trả về Page<UserResponseDto>, tránh load thừa dữ liệu entity.
API lấy danh sách khách hàng	API	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 2	High	3h	2026/06/29 00:00	2026/06/30 12:00	CVMANAGER-0013	CVMANAGER-0016	GET /api/v1/users cho Admin/Staff xem danh sách khách hàng có phân trang, sort và filter.
API xem chi tiết thông tin khách hàng theo ID	API	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 2	High	3h	2026/06/29 00:00	2026/06/30 12:00	CVMANAGER-0013	CVMANAGER-0017	GET /api/v1/users/{id} trả thông tin chi tiết khách hàng; trả 404 nếu khách hàng không tồn tại.
API cập nhật thông tin khách hàng	API	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 2	High	3h	2026/06/29 00:00	2026/06/30 12:00	CVMANAGER-0013	CVMANAGER-0018	PUT /api/v1/users/{id} cho Admin/Staff cập nhật email, phoneNumber, role hoặc trạng thái theo quyền.
API khóa/mở khóa tài khoản khách hàng	API	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 2	High	3h	2026/06/29 00:00	2026/06/30 12:00	CVMANAGER-0013	CVMANAGER-0019	PATCH /api/v1/users/{id}/status để chuyển trạng thái enabled/isActive của khách hàng sang khóa hoặc hoạt động.
Phân quyền ADMIN/STAFF cho quản lý khách hàng	Backend	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 2	High	2h	2026/06/29 00:00	2026/06/30 12:00	CVMANAGER-0013	CVMANAGER-0020	Cấu hình security để chỉ ADMIN hoặc STAFF truy cập API quản lý khách hàng, riêng khóa/mở khóa có thể giới hạn ADMIN.
Validate dữ liệu cập nhật khách hàng	API	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 2	High	2h	2026/06/29 00:00	2026/06/30 12:00	CVMANAGER-0013	CVMANAGER-0021	Kiểm tra email đúng định dạng, số điện thoại hợp lệ, họ tên không rỗng, role/status hợp lệ.
Chuẩn hóa lỗi không tìm thấy khách hàng	API	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 2	High	1h	2026/06/29 00:00	2026/06/30 12:00	CVMANAGER-0013	CVMANAGER-0022	Khi không tìm thấy khách hàng theo id, hệ thống trả error response chuẩn với HTTP 404 và thông báo rõ ràng.
RB-03: Account Management & Balance Inquiry	API	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 2	High	18h	2026/06/29 00:00	2026/06/30 12:00		CVMANAGER-0023	Module quản lý tài khoản ngân hàng, tạo tài khoản cho khách hàng đã KYC, khóa/mở khóa và vấn tin số dư.
Thiết kế AccountResponseDto và BalanceResponseDto	API	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 2	High	2h	2026/06/29 00:00	2026/06/30 12:00	CVMANAGER-0023	CVMANAGER-0024	Tạo DTO trả id, accountNumber, currency, balance, active, createdAt; tuyệt đối không trả transactionPin.
API lấy danh sách tài khoản	API	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 2	High	3h	2026/06/29 00:00	2026/06/30 12:00	CVMANAGER-0023	CVMANAGER-0025	GET /api/v1/accounts; CUSTOMER chỉ xem tài khoản của mình, ADMIN/STAFF có thể filter theo userId.
API xem chi tiết tài khoản	API	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 2	High	3h	2026/06/29 00:00	2026/06/30 12:00	CVMANAGER-0023	CVMANAGER-0026	GET /api/v1/accounts/{id}; kiểm tra quyền sở hữu tài khoản đối với CUSTOMER.
API vấn tin số dư tài khoản	API	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 2	High	3h	2026/06/29 00:00	2026/06/30 12:00	CVMANAGER-0023	CVMANAGER-0027	GET /api/v1/accounts/{id}/balance trả accountNumber, currency, balance cho chủ tài khoản hoặc ADMIN/STAFF.
API tạo tài khoản ngân hàng cho khách hàng đã KYC	API	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 2	High	4h	2026/06/29 00:00	2026/06/30 12:00	CVMANAGER-0023	CVMANAGER-0028	POST /api/v1/accounts cho STAFF/ADMIN tạo tài khoản; chỉ tạo khi user đã isKyc=true và mã hóa transaction PIN bằng BCrypt.
API khóa/mở khóa tài khoản ngân hàng	API	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 2	High	3h	2026/06/29 00:00	2026/06/30 12:00	CVMANAGER-0023	CVMANAGER-0029	PATCH /api/v1/accounts/{id}/status cho STAFF/ADMIN thay đổi trạng thái active/inactive của tài khoản.
RB-04: eKYC & Cloud Storage	API	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 2	High	18h	2026/06/29 00:00	2026/06/30 12:00		CVMANAGER-0030	Module upload hồ sơ eKYC, lưu ảnh CCCD/Passport lên Cloudinary hoặc AWS S3 và xử lý quy trình duyệt hồ sơ.
Tích hợp Cloudinary hoặc AWS S3	Backend	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 2	High	4h	2026/06/29 00:00	2026/06/30 12:00	CVMANAGER-0030	CVMANAGER-0031	Cấu hình cloud storage, biến môi trường và service upload để lưu ảnh eKYC thay vì lưu local.
Xây dựng service upload file eKYC	Backend	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 2	High	3h	2026/06/29 00:00	2026/06/30 12:00	CVMANAGER-0030	CVMANAGER-0032	Validate file không rỗng, giới hạn 5MB/file, chỉ nhận jpg/jpeg/png/pdf theo SRS và trả secure URL.
Xây dựng API upload eKYC	API	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 2	High	4h	2026/06/29 00:00	2026/06/30 12:00	CVMANAGER-0030	CVMANAGER-0033	POST /api/v1/kyc/upload upload ảnh CCCD mặt trước/mặt sau, lưu URL vào KycProfile và chuyển trạng thái PENDING.
Thiết kế KycProfileResponseDto	API	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 2	High	2h	2026/06/29 00:00	2026/06/30 12:00	CVMANAGER-0030	CVMANAGER-0034	Tạo DTO trả id, userId, fullName, idNumber đã mask nếu cần, file URLs, status và verifiedAt.
API lấy danh sách hồ sơ KYC cho Staff/Admin	API	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 2	High	2h	2026/06/29 00:00	2026/06/30 12:00	CVMANAGER-0030	CVMANAGER-0035	GET /api/v1/kyc hỗ trợ filter theo status PENDING/CONFIRM/REJECT và phân trang.
API xem chi tiết hồ sơ KYC	API	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 2	High	1h	2026/06/29 00:00	2026/06/30 12:00	CVMANAGER-0030	CVMANAGER-0036	GET /api/v1/kyc/{id} cho STAFF/ADMIN xem chi tiết hồ sơ KYC.
API duyệt hồ sơ KYC	API	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 2	High	1h	2026/06/29 00:00	2026/06/30 12:00	CVMANAGER-0030	CVMANAGER-0037	PATCH /api/v1/kyc/{id}/approve chuyển status sang CONFIRM, cập nhật User.isKyc=true và set verifiedAt.
API từ chối hồ sơ KYC	API	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 2	High	1h	2026/06/29 00:00	2026/06/30 12:00	CVMANAGER-0030	CVMANAGER-0038	PATCH /api/v1/kyc/{id}/reject chuyển status sang REJECT và không set User.isKyc=true.
RB-05: Transfer, Transaction Statement & Audit	API	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 3	High	30h	2026/06/30 00:00	2026/07/01 18:00		CVMANAGER-0039	Module chuyển tiền an toàn, sao kê giao dịch, chống double-spending và audit log bằng AOP.
Thiết kế TransferRequest và TransferResponse	API	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 3	High	2h	2026/06/30 00:00	2026/07/01 18:00	CVMANAGER-0039	CVMANAGER-0040	Tạo request gồm fromAccount, toAccount, amount, description, transactionPin và response gồm transactionId, transactionCode, amount, status, createdAt.
Xây dựng chức năng chuyển tiền	API	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 3	High	4h	2026/06/30 00:00	2026/07/01 18:00	CVMANAGER-0039	CVMANAGER-0041	POST /api/v1/transactions/transfer cho CUSTOMER chuyển tiền từ tài khoản của mình sau khi kiểm tra ownership, KYC, active, amount, số dư và PIN.
Xử lý khóa tài khoản khi giao dịch	Backend	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 3	High	4h	2026/06/30 00:00	2026/07/01 18:00	CVMANAGER-0039	CVMANAGER-0042	Dùng pessimistic lock hoặc optimistic locking với @Version khi lấy account để tránh race condition/double-spending.
Đảm bảo transaction rollback khi chuyển tiền lỗi	Backend	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 3	High	3h	2026/06/30 00:00	2026/07/01 18:00	CVMANAGER-0039	CVMANAGER-0043	Đặt @Transactional ở service, không tạo transaction SUCCESS nếu trừ/cộng tiền thất bại và ghi FAILED nếu thiết kế yêu cầu.
Thiết kế TransactionStatementDto	API	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 3	High	2h	2026/06/30 00:00	2026/07/01 18:00	CVMANAGER-0039	CVMANAGER-0044	Tạo DTO sao kê gồm transactionId, transactionCode, accountNumber, counterpartyAccountNumber, amount, DEBIT/CREDIT, description, status, createdAt.
Xây dựng API xem sao kê giao dịch	API	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 3	High	4h	2026/06/30 00:00	2026/07/01 18:00	CVMANAGER-0039	CVMANAGER-0045	GET /api/v1/accounts/{accountId}/transactions truy vấn cả fromAccount và toAccount, phân trang, sắp xếp mới nhất trước và kiểm tra quyền sở hữu.
Xây dựng AOP audit log giao dịch tài chính	Backend	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 3	High	4h	2026/06/30 00:00	2026/07/01 18:00	CVMANAGER-0039	CVMANAGER-0046	Tạo @LogAudit và FinancialAuditAspect để ghi log SUCCESS/FAILED cho transfer, KYC approve/reject, account lock/unlock.
Ẩn thông tin nhạy cảm trong audit log	Backend	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 3	High	3h	2026/06/30 00:00	2026/07/01 18:00	CVMANAGER-0039	CVMANAGER-0047	Không log password, PIN, token, refreshToken, cardNumber, identityNumber/idNumber; thêm sanitize/mask trước khi lưu audit.
RB-06: PIN, Password & Authorization Completion	API	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 3	High	14h	2026/06/30 00:00	2026/07/01 18:00		CVMANAGER-0048	Hoàn thiện các yêu cầu bảo mật còn lại của SRS gồm đổi PIN, quên mật khẩu và ma trận phân quyền.
API đổi transaction PIN	API	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 3	High	4h	2026/06/30 00:00	2026/07/01 18:00	CVMANAGER-0048	CVMANAGER-0049	PATCH /api/v1/accounts/{id}/pin cho CUSTOMER đổi PIN tài khoản của mình, verify oldPin bằng BCrypt và hash newPin.
API yêu cầu quên mật khẩu	API	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 3	High	3h	2026/06/30 00:00	2026/07/01 18:00	CVMANAGER-0048	CVMANAGER-0050	POST /api/auth/forgot-password nhận username/email, tạo reset token hoặc mock flow theo yêu cầu dự án và không tiết lộ user có tồn tại hay không.
API reset mật khẩu	API	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 3	High	3h	2026/06/30 00:00	2026/07/01 18:00	CVMANAGER-0048	CVMANAGER-0051	POST /api/auth/reset-password nhận resetToken, newPassword, confirmPassword và hash password bằng BCrypt.
Hoàn thiện Authorization Matrix	Backend	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 3	High	4h	2026/06/30 00:00	2026/07/01 18:00	CVMANAGER-0048	CVMANAGER-0052	Cấu hình public /api/auth/**, ADMIN /api/v1/admin/**, ADMIN/STAFF /api/v1/users/**, CUSTOMER/STAFF/ADMIN theo từng endpoint accounts, kyc, transactions.
RB-07: Testing & Final SRS Verification	Testing	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 3	High	20h	2026/06/30 00:00	2026/07/01 18:00		CVMANAGER-0053	Viết test và đối chiếu cuối cùng để bảo đảm toàn bộ FR-01 đến FR-10 và non-functional requirements được cover.
Viết unit test cho AuthService và RefreshTokenService	Testing	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 3	High	3h	2026/06/30 00:00	2026/07/01 18:00	CVMANAGER-0053	CVMANAGER-0054	Test login thành công, refresh token hợp lệ/expired/revoked và logout blacklist token.
Viết unit test cho TransferService	Testing	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 3	High	4h	2026/06/30 00:00	2026/07/01 18:00	CVMANAGER-0053	CVMANAGER-0055	Test chuyển tiền thành công, thiếu tiền, account không tồn tại, account inactive, sai ownership, sai PIN và chuyển cùng tài khoản.
Viết controller test cho AuthController	Testing	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 3	High	3h	2026/06/30 00:00	2026/07/01 18:00	CVMANAGER-0053	CVMANAGER-0056	MockMvc test POST /api/auth/login, /api/auth/refresh, /api/auth/logout, validation lỗi và response status/body.
Viết controller test cho TransferController	Testing	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 3	High	3h	2026/06/30 00:00	2026/07/01 18:00	CVMANAGER-0053	CVMANAGER-0057	MockMvc test request hợp lệ, amount <= 0, thiếu field, không có token HTTP 401 và sai role HTTP 403.
Viết test cho Redis blacklist service	Testing	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 3	High	2h	2026/06/30 00:00	2026/07/01 18:00	CVMANAGER-0053	CVMANAGER-0058	Kiểm tra blacklist token, token đã bị revoke và TTL hoạt động đúng.
Viết test cho eKYC service và upload validation	Testing	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 3	High	2h	2026/06/30 00:00	2026/07/01 18:00	CVMANAGER-0053	CVMANAGER-0059	Test upload thành công, sai format file, file vượt 5MB và lỗi cloud storage.
Đối chiếu FR-01 đến FR-10 theo SRS	Docs	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 3	High	1h	2026/06/30 00:00	2026/07/01 18:00	CVMANAGER-0053	CVMANAGER-0060	Kiểm tra Login, Refresh Token, Logout, eKYC/open account, User/Account CRUD, Balance, Transfer, Statement, KYC approval, Change PIN/Forgot password.
Đối chiếu non-functional requirements	Docs	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 3	High	1h	2026/06/30 00:00	2026/07/01 18:00	CVMANAGER-0053	CVMANAGER-0061	Kiểm tra BCrypt cho password/PIN, JWT secret 256-bit, stateless API, chống double-spending, upload 5MB và AOP audit log.
Cập nhật README/report và chạy test tổng	Docs	TO DO	Huỳnh La Tiến Lộc - 01/01/2006	Task	Sprint 3	High	1h	2026/06/30 00:00	2026/07/01 18:00	CVMANAGER-0053	CVMANAGER-0062	Cập nhật cách chạy project, danh sách API, Redis/Cloudinary/AWS S3 config, lý do dùng Redis và chạy ./gradlew test.
